idade,salario,tempo_emprego,score_credito,limite_cartao,dividas,possui_carro,possui_casa,estado_civil,numero_dependentes,renda_extra,concede_credito
45,4152.480635954594,2.9645158085383345,499,8363.28964347293,3,sim,nao,casado,0,0,0
38,4093.171783232292,4.083501610839042,541,10193.921338518297,4,sim,nao,solteiro,0,0,1
47,1408.71365473997,3.207856816864571,538,2908.2717611933695,8,sim,nao,solteiro,2,0,0
58,4339.819616597126,5.331254140838359,602,6193.766870175323,3,sim,nao,casado,3,0,0
37,6465.65816364349,8.59153559438574,464,12472.568672934913,5,sim,nao,divorciado,0,0,1
37,2451.53576184641,2.686873528576386,475,3965.4158090055817,3,nao,nao,casado,3,0,0
58,7096.965302101185,8.002461493305242,328,13841.137560942365,0,sim,sim,divorciado,1,0,1
49,5975.549642168677,2.654983782959337,834,10793.547363550528,1,sim,sim,divorciado,0,0,0
34,3531.5333560579243,2.4571183625093473,593,5334.0076841556765,5,sim,nao,casado,3,0,0
46,4716.940725324305,7.45578385502964,776,8637.77378503069,7,sim,sim,casado,0,0,0
34,8196.643615282066,7.765809134022851,682,16779.49650293873,8,nao,sim,divorciado,1,0,0
34,6467.095627011731,7.554229810287962,855,13445.939121980311,3,sim,sim,casado,1,0,1
42,5017.567309796295,1.0526077753455763,595,9204.122859502158,5,sim,sim,casado,1,0,1
17,4524.633366078031,3.6021470657838477,633,9785.940548815644,2,sim,sim,solteiro,2,0,0
19,5153.218140903319,7.468965776009965,547,9711.621130062593,8,sim,sim,divorciado,3,0,0
33,3976.472884115393,5.124625521691684,540,7224.161205260176,7,sim,sim,solteiro,2,0,0
27,790.5009885619711,1.7789214614076077,405,1137.275665513862,0,sim,sim,casado,4,0,0
43,9084.355821069461,6.374953817376325,860,15790.901644598694,1,sim,sim,casado,4,0,0
29,5310.649998398803,2.8555782230255886,422,10346.41636019372,9,sim,nao,solteiro,0,0,0
23,5796.294530245074,10.383574545176636,334,9966.723503120882,8,sim,nao,solteiro,0,1,0
57,4884.184500246182,9.634524387254775,715,9182.99963620523,9,sim,nao,casado,0,0,0
37,3529.7663985508243,6.8122922790667015,626,6259.903191240192,2,sim,nao,divorciado,2,0,1
40,4628.151038102458,9.08302011430932,594,10144.24249595074,2,nao,nao,solteiro,1,0,0
22,1801.2104756113777,5.194374050370143,731,2667.026153335417,9,nao,nao,divorciado,0,0,0
33,9554.172996106608,7.296312483125048,646,21340.116689041,8,nao,sim,casado,0,0,0
41,2530.9760031552078,9.433160885906226,336,4257.997606708436,2,nao,nao,divorciado,4,0,0
26,2936.067432305641,5.736496045382938,811,5359.638897316266,9,sim,nao,divorciado,1,0,1
44,4119.481591227199,4.234438485457149,834,8440.056438635846,4,sim,sim,casado,2,0,0
32,7576.151449704756,-0.11386587453134744,317,14490.65054533226,5,sim,nao,casado,1,0,1
36,5029.017998525308,4.750599422835518,326,10961.069733487195,2,sim,nao,casado,4,0,0
32,,7.470269553686935,835,,9,nao,sim,divorciado,2,0,0
62,7508.676721514679,7.836900282702889,328,15145.278403207769,7,sim,nao,solteiro,3,0,0
39,6462.001253570963,6.513095197155229,416,12205.638994048808,1,sim,sim,casado,0,0,1
27,6076.869914432905,3.3761027151132805,431,12876.980562155788,5,sim,sim,casado,2,0,0
49,6431.468482341681,-0.9304647068427716,588,12766.401741232436,1,sim,sim,solteiro,4,0,0
25,9788.723801164902,3.5143547059857947,535,20025.695429243195,8,sim,nao,casado,1,0,1
42,9370.189790072225,4.086965386838146,341,19653.513629591936,5,sim,nao,casado,2,0,0
16,3626.569313993409,4.061213098429958,459,8619.373519562552,8,nao,nao,solteiro,4,0,1
24,8247.769985622304,6.855669070933773,424,16840.636147895282,3,sim,nao,divorciado,2,0,1
42,5766.336379517801,10.95702923304452,559,13171.931382153225,2,sim,sim,divorciado,0,0,0
48,5998.191632275499,5.370587605523279,575,10832.459229780961,1,sim,sim,divorciado,1,0,0
42,1615.4583367133428,4.349804632530615,512,2808.78447783751,7,sim,nao,casado,1,0,0
38,4659.228469223608,4.222334560987722,772,8601.37290116508,3,sim,nao,solteiro,2,0,1
36,3374.3528193268703,5.373154300723143,869,6780.453984152749,1,sim,nao,divorciado,4,0,0
22,6656.117629786619,2.515118718954803,730,13464.210019895741,8,sim,sim,solteiro,0,0,0
31,7142.1610008056105,5.360595676238165,379,13693.031483512019,7,sim,nao,divorciado,0,0,0
34,,6.352437008995399,527,,4,sim,sim,divorciado,2,0,0
52,4955.930271991459,5.629058190723464,394,6499.023662585659,7,sim,sim,casado,3,1,0
44,7243.723009588504,6.372625802014344,723,15531.15237926102,4,nao,nao,divorciado,2,0,0
18,4626.64207537311,6.301242828045606,815,8602.036389022122,6,sim,nao,divorciado,0,0,0
43,6458.127290004729,-0.31569004673933065,464,13297.96984154451,4,sim,sim,solteiro,1,0,1
35,5702.330935254168,6.91061047518621,725,10080.347710780037,4,nao,nao,casado,2,0,0
31,5683.320463905253,2.986955463012639,341,11544.913636209854,3,sim,nao,casado,2,0,0
47,4457.370043863405,1.712482510988126,702,9107.10450588422,4,sim,sim,divorciado,1,0,0
52,2566.838391728581,,715,6121.699316578215,6,sim,nao,casado,2,0,0
51,2756.939705149945,6.300624831417588,599,6395.149029798025,2,nao,sim,solteiro,4,0,0
29,6418.705028910635,4.332275218325441,354,11401.155463254196,3,nao,nao,casado,1,0,0
36,5038.916511037766,-0.04590635195623172,635,9994.537660687247,7,sim,nao,divorciado,1,0,0
43,4722.975510785551,6.43411344557685,729,10317.052992203427,5,sim,sim,casado,1,0,0
51,4152.219915355295,0.6811756076035183,633,7664.770751060111,7,sim,nao,casado,0,0,1
34,4389.6223090384965,5.419464075554632,705,6949.896585912628,1,nao,sim,divorciado,2,0,0
37,7093.823588976278,5.715496777019163,329,14194.98266862607,8,sim,sim,casado,3,0,0
26,4329.511836263947,7.656731245085135,834,7217.7119893975,6,nao,nao,casado,2,0,0
25,2317.8705733968627,10.345054359400555,816,3982.321078345468,4,sim,sim,divorciado,2,0,0
49,6487.303551080347,0.9059710222983748,874,12008.11227964268,6,sim,sim,divorciado,0,0,0
56,,4.842578431810852,520,,1,sim,nao,solteiro,4,0,0
39,5062.791731065553,4.170994114867348,893,11199.059827364415,3,nao,nao,divorciado,4,0,1
52,8215.15661279902,6.301249057882886,793,16983.920561130075,6,sim,nao,divorciado,0,0,0
44,4958.878885298986,5.647006312800856,552,11061.734068692038,1,sim,nao,casado,0,0,0
