iter	Passed	Remaining
0	6	1923
1	21	3140
2	26	2630
3	40	3028
4	47	2777
5	52	2579
6	57	2419
7	62	2278
8	72	2332
9	76	2231
10	83	2197
11	89	2157
12	94	2086
13	101	2073
14	106	2021
15	127	2261
16	137	2294
17	142	2228
18	148	2196
19	163	2294
20	169	2246
21	173	2195
22	186	2247
23	193	2225
24	198	2182
25	208	2195
26	213	2158
27	218	2126
28	226	2118
29	233	2098
30	237	2063
31	245	2059
32	251	2037
33	257	2012
34	265	2012
35	272	2000
36	283	2017
37	288	1988
38	295	1980
39	300	1953
40	304	1926
41	309	1903
42	314	1880
43	318	1851
44	322	1824
45	328	1814
46	333	1796
47	337	1771
48	343	1759
49	347	1735
50	351	1714
51	355	1694
52	360	1681
53	364	1662
54	369	1647
55	376	1639
56	380	1622
57	386	1610
58	391	1597
59	405	1623
60	412	1616
61	420	1613
62	424	1597
63	429	1582
64	439	1587
65	443	1572
66	449	1562
67	457	1562
68	475	1590
69	483	1588
70	492	1586
71	511	1618
72	523	1629
73	529	1616
74	539	1618
75	544	1604
76	549	1589
77	566	1613
78	575	1610
79	580	1595
80	587	1588
81	592	1574
82	607	1588
83	616	1586
84	621	1572
85	626	1559
86	636	1558
87	640	1542
88	645	1529
89	648	1514
90	652	1499
91	663	1499
92	672	1497
93	688	1507
94	696	1502
95	700	1488
96	704	1475
97	711	1465
98	718	1458
99	729	1458
100	733	1445
101	737	1431
102	743	1421
103	747	1409
104	752	1396
105	761	1393
106	766	1383
107	775	1378
108	779	1366
109	785	1356
110	789	1343
111	792	1331
112	798	1321
113	802	1309
114	806	1297
115	810	1286
116	817	1278
117	821	1266
118	824	1254
119	829	1244
120	833	1232
121	837	1221
122	840	1209
123	846	1200
124	849	1189
125	853	1178
126	857	1168
127	863	1160
128	866	1149
129	870	1138
130	874	1128
131	882	1123
132	887	1114
133	892	1106
134	897	1096
135	902	1087
136	907	1079
137	911	1070
138	916	1061
139	919	1051
140	925	1043
141	929	1034
142	936	1028
143	941	1019
144	954	1020
145	965	1018
146	970	1010
147	974	1000
148	980	993
149	986	986
150	990	977
151	1000	973
152	1003	964
153	1007	955
154	1018	952
155	1022	944
156	1029	937
157	1034	929
158	1038	920
159	1045	914
160	1051	907
161	1057	900
162	1062	893
163	1066	884
164	1072	877
165	1078	870
166	1083	862
167	1090	856
168	1096	849
169	1100	841
170	1105	834
171	1111	827
172	1115	818
173	1123	813
174	1127	805
175	1135	800
176	1141	792
177	1151	789
178	1156	781
179	1161	774
180	1166	766
181	1173	761
182	1178	753
183	1184	746
184	1188	739
185	1192	730
186	1198	724
187	1202	716
188	1206	708
189	1211	701
190	1217	694
191	1220	686
192	1225	679
193	1234	674
194	1237	666
195	1243	659
196	1248	652
197	1252	645
198	1256	637
199	1266	633
200	1270	625
201	1280	621
202	1283	613
203	1288	606
204	1295	600
205	1300	593
206	1305	586
207	1310	579
208	1313	572
209	1318	565
210	1324	558
211	1327	551
212	1342	548
213	1356	544
214	1360	538
215	1365	531
216	1376	526
217	1381	519
218	1389	513
219	1393	506
220	1396	499
221	1403	493
222	1407	485
223	1411	478
224	1414	471
225	1419	464
226	1422	457
227	1426	450
228	1432	444
229	1435	436
230	1439	429
231	1449	424
232	1455	418
233	1459	411
234	1466	405
235	1470	398
236	1474	392
237	1480	385
238	1484	378
239	1488	372
240	1494	365
241	1498	359
242	1502	352
243	1506	345
244	1514	340
245	1518	333
246	1522	326
247	1530	320
248	1535	314
249	1543	308
250	1547	302
251	1551	295
252	1560	289
253	1563	283
254	1567	276
255	1574	270
256	1580	264
257	1585	258
258	1589	251
259	1593	245
260	1597	238
261	1602	232
262	1606	225
263	1610	219
264	1616	213
265	1620	207
266	1624	200
267	1628	194
268	1634	188
269	1638	182
270	1642	175
271	1647	169
272	1653	163
273	1656	157
274	1660	150
275	1664	144
276	1668	138
277	1671	132
278	1676	126
279	1681	120
280	1684	113
281	1688	107
282	1695	101
283	1698	95
284	1702	89
285	1709	83
286	1712	77
287	1716	71
288	1726	65
289	1730	59
290	1734	53
291	1741	47
292	1746	41
293	1749	35
294	1755	29
295	1759	23
296	1762	17
297	1766	11
298	1771	5
299	1774	0
